COMMAND: ./post_m29_bc_interval_formula_mpfr
B/C interval fixed-template direct-tail MPFR onset verifier
b_rank_lo=14 b_rank_hi=217 c_rank_lo=20 c_rank_hi=217 include_b=1 include_c=1 b_radius_slope=22 c_radius_slope=19 b_radius_offset=0 c_radius_offset=0 search_lo=63 search_hi=40001 slack=32 cheb_degree=8 cheb_scale=12000 cutoff=80 majorant_degree=32 log10_neg=-15 mpfr_precision=384 mpfr_version=4.2.1 max_fact=94396 OpenMP threads=32
CONDITIONAL_INPUT requires uniform B/C Chebyshev negative-tail bound degree=8 scale=12000 cutoff=80 majorant_degree=32 log10_negative_upper<=-15
factorial_log_precompute_start max_fact=94396
factorial_log_precompute_done max_fact=94396
row	onset	margin_lower_log10	slack_target	slack_margin_lower_log10	radius	c_push_lower
B_35	691	1.3515554318164669702907	723	43.9357848664906617876521	770	1713.35421307689758352
B_36	727	2.52196105473503957507375	759	46.0545439198093086767198	792	1834.35421307689758352
B_37	763	2.27477315805979918370743	795	46.7235081367282970299368	814	1959.35421307689758352
B_38	799	0.549816686458634434861944	831	45.8846703119030591841353	836	2088.35421307689758352
B_39	837	0.142907444706544674976421	869	46.3357979689197018486707	858	2221.35421307689758352
B_40	877	1.15880033058143176962168	909	48.1834098517968528614109	880	2358.35421307689758352
B_41	917	0.671550441175916791779998	949	48.503160761471696876926	902	2499.35421307689758352
B_42	963	2.63976668015178419732129	995	50.5770576463823534482642	924	2644.35421307689758352
B_43	1011	0.0952124176032731704833595	1043	48.4672943036955576632339	946	2793.35421307689758352
B_44	1063	1.59896856477473982851103	1095	50.3926416760575732546206	968	2946.35421307689758352
B_45	1115	1.08394669947388710245976	1147	50.2867895416542618949626	990	3103.35421307689758352
B_46	1169	1.61409205287654601638116	1201	51.2143944631651899885596	1012	3264.35421307689758352
B_47	1223	0.0685976413446174223433172	1255	50.0553013688979249017309	1034	3429.35421307689758352
B_48	1281	2.71007506840437331539252	1313	53.0727207947228878983673	1056	3598.35421307689758352
B_49	1337	0.0981032142684627374429274	1369	50.826783163994635851658	1078	3771.35421307689758352
B_50	1397	1.71277615362629214446119	1429	52.7980915772270122150766	1100	3948.35421307689758352
B_51	1457	1.19200852295841773541163	1489	52.6250314408281572174039	1122	4129.35421307689758352
B_52	1519	1.74284142973814397033978	1551	53.5150801168144890029102	1144	4314.35421307689758352
B_53	1581	0.108444273542717546565573	1613	52.2118120381191747720959	1166	4503.35421307689758352
B_54	1647	2.81596335618544386300393	1679	55.2427502290273743637391	1188	4696.35421307689758352
B_55	1711	0.0344936318507583537941391	1743	52.7773406341874836521093	1210	4893.35421307689758352
B_56	1779	1.62805240053613967110932	1811	54.679928103789376526822	1232	5094.35421307689758352
B_57	1847	0.982682321510682471236284	1879	54.3368614491523418211983	1254	5299.35421307689758352
B_58	1917	1.42840096074968609131404	1949	55.0784448146129154820772	1276	5508.35421307689758352
B_59	1989	2.96220905825322031609416	2021	56.9019475788850641466737	1298	5721.35421307689758352
B_60	2061	2.22719564093085538530572	2093	56.4507109349365087433951	1320	5938.35421307689758352
B_61	2135	2.57314766116210551928786	2167	57.0747588485751904653574	1342	6159.35421307689758352
B_62	2209	0.608434498057058257786274	2241	55.382683750092749168962	1364	6384.35421307689758352
B_63	2287	3.15844381537387657097732	2319	58.2000834679078073166837	1386	6613.35421307689758352
B_64	2365	3.39082325719543593129413	2397	58.6948038983144587986246	1408	6846.35421307689758352
B_65	2443	1.25143439290665167248337	2475	56.8128938341920087568116	1430	7083.35421307689758352
B_66	2523	0.211553894954025473588473	2555	56.0258069460294082017133	1452	7324.35421307689758352
B_67	2605	0.265982539452123587048636	2637	56.3285115139648860616883	1474	7569.35421307689758352
B_68	2689	1.44477323759865645045475	2721	57.751219126375908263016	1496	7818.35421307689758352
B_69	2773	0.207539998319280451114549	2805	56.7536942520984937804844	1518	8071.35421307689758352
B_70	2859	0.0880266115930333482298751	2891	56.8698234815935081988019	1540	8328.35421307689758352
B_71	2947	1.07978893298441262447598	2979	58.0932983227671195325656	1562	8589.35421307689758352
B_72	3037	3.2117206690715577669381	3069	60.4531414557205698613629	1584	8854.35421307689758352
B_73	3127	2.88488656147530748245924	3159	60.3505403482012010014379	1606	9123.35421307689758352
B_74	3217	0.0859669214316505907984138	3249	57.7722921873118409947003	1628	9396.35421307689758352
B_75	3311	2.00470018921309397270224	3343	59.9082468050027416733662	1650	9673.35421307689758352
B_76	3405	1.4450662987384866748308	3437	59.562490380557153193675	1672	9954.35421307689758352
B_77	3501	2.00483366941570256546644	3533	60.3328927446815010227089	1694	10239.35421307689758352
B_78	3597	0.0533245826366117500802633	3629	58.5888730449176429157255	1716	10528.35421307689758352
B_79	3697	2.88635029334198332568748	3729	61.6263351248560143516683	1738	10821.35421307689758352
B_80	3797	3.20166412313010805417013	3829	62.1431208654752377052006	1760	11118.35421307689758352
B_81	3897	0.953014392803024753442071	3929	60.0930633481684477783105	1782	11419.35421307689758352
B_82	4001	3.54767090137170842762623	4033	62.8835135479795624709611	1804	11724.35421307689758352
B_83	4105	3.57212886213143441008887	4137	63.1010444690163868721501	1826	12033.35421307689758352
B_84	4209	1.01707894342939293197225	4241	60.7364213708881444476635	1848	12346.35421307689758352
B_85	4317	3.32650325688101323481659	4349	63.2336979300333473812569	1870	12663.35421307689758352
B_86	4425	3.05037366198187497100831	4457	63.1429147058906660759896	1892	12984.35421307689758352
B_87	4533	0.144644010342195040975988	4565	60.4200915360528234550797	1914	13309.35421307689758352
B_88	4645	2.15869434801255558408496	4677	62.6146718797021197708342	1936	13638.35421307689758352
B_89	4757	1.53727695701371452167445	4789	62.1714689911958045892937	1958	13971.35421307689758352
B_90	4871	2.07375327862127855956826	4903	62.8839029670404459329865	1980	14308.35421307689758352
B_91	4987	3.75822254137418831603725	5019	64.7421294898523192120509	2002	14649.35421307689758352
B_92	5103	2.79411792060728888694001	5135	63.9496360966778269892544	2024	14994.35421307689758352
B_93	5221	2.97209737522794588031775	5253	64.2971331179186188988286	2046	15343.35421307689758352
B_94	5339	0.47446396945275082593991	5371	61.966974095057867172769	2068	15696.35421307689758352
B_95	5461	2.96700559212531371920579	5493	64.624995590249032630322	2090	16053.35421307689758352
B_96	5583	2.77820658009228204015764	5615	64.5997288946482987476986	2112	16414.35421307689758352
